FromY,ToY,MeanY,ClassName,ClassValue,DEL,DES,Ellenallas10,Ellenallas40,Gamma,Laterolog,Magneses,Neutron,Nyiro,Primer,Tavolsag,TermPot
822.45,822.48,-822.465,breccsa,5,2.6400001,2.6300001,105.9300003,261.0899963,20.8600006,320.3399963,-2.8747101,29.7399998,2703.600098,4827.290039,-822.5,1675
822.48,823.28,-822.88,agyagkő,6,2.5999999,2.5999999,155.269989,301.9400024,17.9400005,648.5199585,-2.8710301,24.6399994,2675.280029,4860.799805,-822.9,1354
823.28,823.31,-823.295,agyagkő,6,2.5999999,2.6199999,107.9199982,235.7599945,21.3600006,361.303009,-2.8447199,26.2900009,2524.689941,4422.540039,-823.3,1366
823.31,823.33,-823.32,agyagkő,6,2.5999999,2.6199999,107.9199982,235.7599945,21.3600006,361.303009,-2.8447199,26.2900009,2524.689941,4422.540039,-823.3,1366
823.33,824.24,-823.785,agyagkő,6,2.5999999,2.6300001,98.840004,209.75,23.7700005,335.5950012,-2.8546801,31.0699997,2655.399902,4719.600098,-823.8,1568
824.24,824.34,-824.29,agyagkő,6,2.6900001,2.6600001,128.2200012,253.4499969,20.1800003,435.4519958,-2.8506601,24.8299999,2789.850098,4855.790039,-824.3,1186
824.34,824.48,-824.41,agyagkő,6,2.6700001,2.6300001,122.0599976,245.5299988,19.3999996,377.1000061,-2.8596499,24.4300003,2760.090088,4815.25,-824.4,1189
824.48,824.79,-824.635,agyagkő,6,2.6199999,2.5699999,117.3700027,192.3699951,21.1000004,451.8049927,-2.8700299,24.1800003,2590.23999,4524.839844,-824.6,1421
824.79,825.01,-824.9,agyagkő,6,2.6199999,2.6700001,86.3000031,180.8899994,22.4599991,256.6000061,-2.8652,28.3600006,2565.419922,4514.799805,-824.9,1598
825.01,825.02,-825.015,agyagkő,6,2.6199999,2.6400001,86.7200012,180.0700073,22.3799992,291.3900146,-2.8601699,30.5200005,2593.070068,4526.419922,-825,1547
825.02,825.07,-825.045,agyagkő,6,2.6199999,2.6400001,86.7200012,180.0700073,22.3799992,291.3900146,-2.8601699,30.5200005,2593.070068,4526.419922,-825,1547
825.07,825.09,-825.08,agyagkő,6,2.6199999,2.6700001,93.5899963,186.2799988,22.6700001,344.927002,-2.86291,31.3299999,2633.51001,4551.200195,-825.1,1450
825.09,825.18,-825.135,agyagkő,6,2.6199999,2.6700001,93.5899963,186.2799988,22.6700001,344.927002,-2.86291,31.3299999,2633.51001,4551.200195,-825.1,1450
825.18,825.2,-825.19,agyagkő,6,2.5699999,2.6199999,101.5500031,199.3999939,22.0499992,361.9200134,-2.8580999,31.4099998,2672.399902,4592.899902,-825.2,1429
825.2,825.24,-825.22,agyagkő,6,2.5699999,2.6199999,101.5500031,199.3999939,22.0499992,361.9200134,-2.8580999,31.4099998,2672.399902,4592.899902,-825.2,1429
825.24,825.95,-825.595,agyagkő,6,2.6300001,2.6099999,111.2300034,227.8300018,20.25,354.1960144,-2.8684399,27.9899998,2627.469971,4576.870117,-825.6,1273
825.95,825.99,-825.97,agyagkő,6,2.6199999,2.5799999,104.4000015,205.1600037,19.3199997,343.3999939,-2.8655901,28.8700008,2612.76001,4502.649902,-826,1143
825.99,826.6,-826.295,agyagkő,6,2.5699999,2.6199999,94.7799988,169.2400055,18.3600006,352.5799866,-2.8738301,30.0699997,2666.209961,4620.200195,-826.3,1397
826.6,826.63,-826.615,agyagkő,6,2.5899999,2.6800001,82.4499969,159.2700043,20.0699997,236.4980011,-2.8514199,26.6200008,2569.389893,4586.75,-826.6,1242
826.63,827.58,-827.105,agyagkő,6,2.5899999,2.6600001,99.4899979,185.0200043,22.5699997,296.6319885,-2.86711,29.1800003,2648.209961,4679.060059,-827.1,1201
827.58,827.6,-827.59,agyagkő,6,2.5999999,2.6300001,89.3799973,184.5200043,20.8199997,269.6889954,-2.88486,31.6900005,2484.060059,4302.740234,-827.6,1506
827.6,829.42,-828.51,breccsa,5,2.6500001,2.6400001,116.3799973,262.730011,21.7199993,378.8300171,-2.8733699,29.6800003,2622.129883,4707.759766,-828.5,2109
829.42,829.49,-829.455,agyagkő,6,2.6199999,2.6800001,84.3100052,193.5400085,21.2600002,281.6900024,-2.859,28.6299992,2548.139893,4504.580078,-829.5,1761
829.49,829.51,-829.5,agyagkő,6,2.6199999,2.6800001,84.3100052,193.5400085,21.2600002,281.6900024,-2.859,28.6299992,2548.139893,4504.580078,-829.5,1761
